"Region","Station","Date","Daily Rainfall Total (mm)","Mean Temperature (°C)","Maximum Temperature (°C)","Minimum Temperature (°C)","Latitude","Longitude"
"North","Admiralty",2020-01-26,0,28.1,33.7,24.8,1.4439,103.7854
"North","Admiralty",2020-01-27,39.8,27.4,33.3,23.8,1.4439,103.7854
"North","Admiralty",2020-01-28,0,28.2,33,25.7,1.4439,103.7854
"North","Admiralty",2020-01-29,54.2,26,29.3,23.3,1.4439,103.7854
"North","Admiralty",2020-01-30,0,26.9,31.8,23.4,1.4439,103.7854
"North","Admiralty",2020-01-31,0,27.9,31.9,25.7,1.4439,103.7854
"North","Admiralty",2020-02-01,0,27.4,30.3,25,1.4439,103.7854
"North","Admiralty",2020-02-02,0,27.2,30.9,25.5,1.4439,103.7854
"North","Admiralty",2020-02-03,0,28,32.8,24.9,1.4439,103.7854
"North","Admiralty",2020-02-04,5,28.5,35.2,25.3,1.4439,103.7854
"North","Admiralty",2020-02-05,0,28.1,31.7,25.5,1.4439,103.7854
"North","Admiralty",2020-02-06,19.4,28.1,35.6,24.3,1.4439,103.7854
"North","Admiralty",2020-02-07,0,29,31.5,27.2,1.4439,103.7854
"North","Admiralty",2020-02-08,0,29,32.4,26.7,1.4439,103.7854
"North","Admiralty",2020-02-09,2.4,28.2,32.9,26.1,1.4439,103.7854
"North","Admiralty",2020-02-10,0,27.6,32.5,24.4,1.4439,103.7854
"North","Admiralty",2020-02-11,10.2,26.8,33,23.6,1.4439,103.7854
"North","Admiralty",2020-02-12,0,27.9,31.5,26.3,1.4439,103.7854
"North","Admiralty",2020-02-13,0,28,32.3,25.6,1.4439,103.7854
"North","Admiralty",2020-02-14,0,28,32.6,25.4,1.4439,103.7854
"North","Admiralty",2020-02-15,0,28.4,34.8,24.7,1.4439,103.7854
"North","Admiralty",2020-02-16,4.6,27.5,35.5,24.7,1.4439,103.7854
"North","Admiralty",2020-02-17,0,28.1,33.2,25.5,1.4439,103.7854
"North","Admiralty",2020-02-18,1,26.4,29.4,23.9,1.4439,103.7854
"North","Admiralty",2020-02-19,0,27.6,32,25.6,1.4439,103.7854
"North","Admiralty",2020-02-20,1,27.4,31.6,25,1.4439,103.7854
"North","Admiralty",2020-02-21,4.8,26.6,29.7,24,1.4439,103.7854
"North","Admiralty",2020-02-22,0,27.5,30.6,25.5,1.4439,103.7854
"North","Admiralty",2020-02-23,0,27.5,31,25.1,1.4439,103.7854
"North","Admiralty",2020-02-24,0.2,26.8,29.7,25.6,1.4439,103.7854
"North","Admiralty",2020-02-25,0,27.7,31.6,25.2,1.4439,103.7854
"North","Admiralty",2020-02-26,0,27.9,32.4,25.1,1.4439,103.7854
"North","Admiralty",2020-02-27,0,28.1,32.8,25.3,1.4439,103.7854
"North","Admiralty",2020-02-28,0,28,32.3,25.4,1.4439,103.7854
"North","Admiralty",2020-02-29,0,27.8,32.5,24.9,1.4439,103.7854
"North","Admiralty",2020-03-01,0.2,27.5,30.4,25.7,1.4439,103.7854
"North","Admiralty",2020-03-02,0,27.4,31.6,24.6,1.4439,103.7854
"North","Admiralty",2020-03-03,0,28,32.1,25.4,1.4439,103.7854
"North","Admiralty",2020-03-04,8.6,27.9,32.7,24.4,1.4439,103.7854
"North","Admiralty",2020-03-05,6,28.6,33.1,25.2,1.4439,103.7854
"North","Admiralty",2020-03-06,0,28.6,32.3,25.8,1.4439,103.7854
"North","Admiralty",2020-03-07,0,29.7,33.5,27.7,1.4439,103.7854
"North","Admiralty",2020-03-08,0,29.5,33.2,27.3,1.4439,103.7854
"North","Admiralty",2020-03-09,6.8,26.6,29.7,24.8,1.4439,103.7854
"North","Admiralty",2020-03-10,7.2,27.6,32.6,23.4,1.4439,103.7854
"North","Admiralty",2020-03-11,0.6,27.4,31.5,25.5,1.4439,103.7854
"North","Admiralty",2020-03-12,6.2,26.6,33.7,24,1.4439,103.7854
"North","Admiralty",2020-03-13,0,29.3,36,25.8,1.4439,103.7854
"North","Admiralty",2020-03-14,0,28.9,33.5,26.5,1.4439,103.7854
"North","Admiralty",2020-03-15,0,28.9,33.1,26.7,1.4439,103.7854
"North","Admiralty",2020-03-16,0,28.5,32.7,26.6,1.4439,103.7854
"North","Admiralty",2020-03-17,0,28.5,32.4,25.9,1.4439,103.7854
"North","Admiralty",2020-03-18,5.4,27.9,32,25.5,1.4439,103.7854
"North","Admiralty",2020-03-19,0,28.3,33.9,25.7,1.4439,103.7854
"North","Admiralty",2020-03-20,0,28.1,32.8,26,1.4439,103.7854
"North","Admiralty",2020-03-21,45.2,27.5,32,24.1,1.4439,103.7854
"North","Admiralty",2020-03-22,26.8,27.3,33.8,23.6,1.4439,103.7854
"North","Admiralty",2020-03-23,19.4,26.5,30.4,24,1.4439,103.7854
"North","Admiralty",2020-03-24,0.2,28.2,33.6,24.7,1.4439,103.7854
"North","Admiralty",2020-03-25,0,28.4,32,25.8,1.4439,103.7854
"North","Admiralty",2020-03-26,0,29,33.6,26,1.4439,103.7854
"North","Admiralty",2020-03-27,30.6,28.1,34.6,23.8,1.4439,103.7854
"North","Admiralty",2020-03-28,14.2,28.8,34.9,25.8,1.4439,103.7854
"North","Admiralty",2020-03-29,0,28.9,33.9,26.3,1.4439,103.7854
"North","Admiralty",2020-03-30,0.2,28.9,34.8,25.9,1.4439,103.7854
"North","Admiralty",2020-03-31,0,29.4,35,26.6,1.4439,103.7854
"North","Admiralty",2020-04-01,7,26.7,30.3,25.2,1.4439,103.7854
"North","Admiralty",2020-04-02,0,27.1,31.4,24.4,1.4439,103.7854
"North","Admiralty",2020-04-03,0.6,28.3,33.1,25.8,1.4439,103.7854
"North","Admiralty",2020-04-04,0,29.2,33.8,26.4,1.4439,103.7854
"North","Admiralty",2020-04-05,0.2,27.8,30.9,26.1,1.4439,103.7854
"North","Admiralty",2020-04-06,13.8,28.5,34,24.1,1.4439,103.7854
"North","Admiralty",2020-04-07,0.2,28.6,32.8,25.1,1.4439,103.7854
"North","Admiralty",2020-04-08,1,27.6,29.6,24.1,1.4439,103.7854
"North","Admiralty",2020-04-09,5,27,31.6,25,1.4439,103.7854
"North","Admiralty",2020-04-10,0,28.7,31.2,27,1.4439,103.7854
"North","Admiralty",2020-04-11,18.2,25.1,26.9,23.3,1.4439,103.7854
"North","Admiralty",2020-04-12,4.2,26.4,31.1,24.6,1.4439,103.7854
"North","Admiralty",2020-04-13,27.6,28.2,32.7,22.4,1.4439,103.7854
"North","Admiralty",2020-04-14,0,29.2,33.7,26.3,1.4439,103.7854
"North","Admiralty",2020-04-15,0,29.3,33,26.2,1.4439,103.7854
"North","Admiralty",2020-04-16,0,29.5,34.4,26.4,1.4439,103.7854
"North","Admiralty",2020-04-17,0,29.5,34.3,26.6,1.4439,103.7854
"North","Admiralty",2020-04-18,0,29.3,34.4,26.2,1.4439,103.7854
"North","Admiralty",2020-04-19,0,30.1,34.7,27.6,1.4439,103.7854
"North","Admiralty",2020-04-20,0,30,34.5,27.2,1.4439,103.7854
"North","Admiralty",2020-04-21,63.2,28.4,32.9,23.3,1.4439,103.7854
"North","Admiralty",2020-04-22,1,29.1,34.9,26.9,1.4439,103.7854
"North","Admiralty",2020-04-23,12.6,27.7,34.2,25.5,1.4439,103.7854
"North","Admiralty",2020-04-24,4,27.2,34.6,25.1,1.4439,103.7854
"North","Admiralty",2020-04-25,2.4,27.2,31.3,25.8,1.4439,103.7854
"North","Admiralty",2020-04-26,2.2,27,32.5,25.5,1.4439,103.7854
"North","Admiralty",2020-04-27,0,27.2,30.7,24.9,1.4439,103.7854
"North","Admiralty",2020-04-28,7.6,28.4,31.8,26,1.4439,103.7854
"North","Admiralty",2020-04-29,3.5,28.9,34.5,25.1,1.4439,103.7854
"North","Admiralty",2020-04-30,9.2,27.7,33.6,24.8,1.4439,103.7854
"North","Admiralty",2020-05-01,0,27.6,31.6,25.1,1.4439,103.7854
"North","Admiralty",2020-05-02,0,27.4,32.1,24.7,1.4439,103.7854
"North","Admiralty",2020-05-03,1.6,27.1,29.9,25,1.4439,103.7854
"North","Admiralty",2020-05-04,0,28.2,33.8,25.3,1.4439,103.7854
"North","Admiralty",2020-05-05,3,28.3,35,25.6,1.4439,103.7854
"North","Admiralty",2020-05-06,9.8,27.9,31.5,23.9,1.4439,103.7854
"North","Admiralty",2020-05-07,2.6,27,32.8,24.6,1.4439,103.7854
"North","Admiralty",2020-05-08,0,29,33,26.5,1.4439,103.7854
"North","Admiralty",2020-05-09,13.4,25,26,23.5,1.4439,103.7854
"North","Admiralty",2020-05-10,0,29.4,33.9,26.5,1.4439,103.7854
"North","Admiralty",2020-05-11,0,28.2,33.4,24.5,1.4439,103.7854
"North","Admiralty",2020-05-12,0.2,26.6,30.2,24.9,1.4439,103.7854
"North","Admiralty",2020-05-13,2.4,27.8,31.3,24.7,1.4439,103.7854
"North","Admiralty",2020-05-14,0,29.1,34.2,25.6,1.4439,103.7854
"North","Admiralty",2020-05-15,0,30.1,34.7,27,1.4439,103.7854
"North","Admiralty",2020-05-16,10.8,29.8,33.9,26.6,1.4439,103.7854
"North","Admiralty",2020-05-17,46,28.2,33.1,24.7,1.4439,103.7854
"North","Admiralty",2020-05-18,0,29.1,34.4,25.3,1.4439,103.7854
"North","Admiralty",2020-05-19,0,30.1,34.1,28,1.4439,103.7854
"North","Admiralty",2020-05-20,8.4,28.8,33.4,25.7,1.4439,103.7854
"North","Admiralty",2020-05-21,0.2,29,35.8,26.5,1.4439,103.7854
"North","Admiralty",2020-05-22,40,27.9,32.4,23.4,1.4439,103.7854
"North","Admiralty",2020-05-23,0.2,27.5,30.8,26,1.4439,103.7854
"North","Admiralty",2020-05-24,0,28.5,33.6,26.4,1.4439,103.7854
"North","Admiralty",2020-05-25,13.6,28.7,34.6,26.2,1.4439,103.7854
"North","Admiralty",2020-05-26,2.2,28.9,35,26.1,1.4439,103.7854
"North","Admiralty",2020-05-27,1.8,28.1,31.4,25.9,1.4439,103.7854
"North","Admiralty",2020-05-28,0.6,29,34.3,26.5,1.4439,103.7854
"North","Admiralty",2020-05-29,3.8,28.1,32.4,25.1,1.4439,103.7854
"North","Admiralty",2020-05-30,6,27.8,34.7,25.2,1.4439,103.7854
"North","Admiralty",2020-05-31,0,28.3,33.5,25.9,1.4439,103.7854
"North","Admiralty",2020-06-01,4.8,26,30.7,23.8,1.4439,103.7854
"North","Admiralty",2020-06-02,0,27.8,31.5,25.4,1.4439,103.7854
"North","Admiralty",2020-06-03,0,27.5,31.7,25.1,1.4439,103.7854
"North","Admiralty",2020-06-04,0,27.7,30.8,25.9,1.4439,103.7854
"North","Admiralty",2020-06-05,0.2,28.4,31.6,25,1.4439,103.7854
"North","Admiralty",2020-06-06,3.2,27,29.4,24.3,1.4439,103.7854
"North","Admiralty",2020-06-07,2,27.6,32.5,25.3,1.4439,103.7854
"North","Admiralty",2020-06-08,0,29.5,33.5,27.7,1.4439,103.7854
"North","Admiralty",2020-06-09,12.4,25.9,31.6,23.4,1.4439,103.7854
"North","Admiralty",2020-06-10,0,28.9,32.8,26.5,1.4439,103.7854
"North","Admiralty",2020-06-11,0,29.3,33.6,26.1,1.4439,103.7854
"North","Admiralty",2020-06-12,0,28,32.3,25.8,1.4439,103.7854
"North","Admiralty",2020-06-13,7.4,25.6,27.2,24.3,1.4439,103.7854
"North","Admiralty",2020-06-14,1.2,28,33.2,25.1,1.4439,103.7854
"North","Admiralty",2020-06-15,0.2,29.6,33.4,27.8,1.4439,103.7854
"North","Admiralty",2020-06-16,4.6,28.2,31.2,26.2,1.4439,103.7854
"North","Admiralty",2020-06-17,11.2,26.6,29.7,25.2,1.4439,103.7854
"North","Admiralty",2020-06-18,1.4,27.3,30.4,25.2,1.4439,103.7854
"North","Admiralty",2020-06-19,2,28,31.6,25.3,1.4439,103.7854
"North","Admiralty",2020-06-20,13,26.1,28.1,24.4,1.4439,103.7854
"North","Admiralty",2020-06-21,0,26.7,28.4,25.4,1.4439,103.7854
"North","Admiralty",2020-06-22,0,27.1,28.6,25.5,1.4439,103.7854
"North","Admiralty",2020-06-23,16.8,26.4,29.3,23.4,1.4439,103.7854
"North","Admiralty",2020-06-24,6.8,26.3,27.5,23.9,1.4439,103.7854
"North","Admiralty",2020-06-25,0,28.3,32.3,25.3,1.4439,103.7854
"North","Admiralty",2020-06-26,0,28.7,32.4,26.4,1.4439,103.7854
"North","Admiralty",2020-06-27,3.8,28.9,31.9,26.3,1.4439,103.7854
"North","Admiralty",2020-06-28,0.2,29.2,32.6,26.9,1.4439,103.7854
"North","Admiralty",2020-06-29,0.4,29.4,32.4,27.6,1.4439,103.7854
"North","Admiralty",2020-06-30,7.2,29.2,33.8,26.2,1.4439,103.7854
"North","Admiralty",2020-07-01,2,25.9,29.6,23.3,1.4439,103.7854
"North","Admiralty",2020-07-02,0,27.5,31.1,25.1,1.4439,103.7854
"North","Admiralty",2020-07-03,5.2,27.8,33.7,25.9,1.4439,103.7854
"North","Admiralty",2020-07-04,30,27.4,31.8,23.1,1.4439,103.7854
"North","Admiralty",2020-07-05,0,29.8,35,27.6,1.4439,103.7854
"North","Admiralty",2020-07-06,0,29.3,33.9,26,1.4439,103.7854
"North","Admiralty",2020-07-07,9,27,32,25,1.4439,103.7854
"North","Admiralty",2020-07-08,0,29.9,33.6,27.3,1.4439,103.7854
"North","Admiralty",2020-07-09,0,27.9,32.8,23.9,1.4439,103.7854
"North","Admiralty",2020-07-10,9.6,27.6,31.1,24.3,1.4439,103.7854
"North","Admiralty",2020-07-11,47,25.4,28.2,23.4,1.4439,103.7854
"North","Admiralty",2020-07-12,0,28.2,32,25.6,1.4439,103.7854
"North","Admiralty",2020-07-13,23,25.5,28.2,23.6,1.4439,103.7854
"North","Admiralty",2020-07-14,0.2,27,29.9,25,1.4439,103.7854
"North","Admiralty",2020-07-15,11.6,27.4,31.7,25,1.4439,103.7854
"North","Admiralty",2020-07-16,3.8,28,34.6,24.2,1.4439,103.7854
"North","Admiralty",2020-07-17,0,29,33.2,25.2,1.4439,103.7854
"North","Admiralty",2020-07-18,7.4,27.7,31.8,26,1.4439,103.7854
"North","Admiralty",2020-07-19,0,28.4,33.2,24.8,1.4439,103.7854
"North","Admiralty",2020-07-20,0,29.4,33.4,27.3,1.4439,103.7854
"North","Admiralty",2020-07-21,0,29.5,33.9,27.4,1.4439,103.7854
"North","Admiralty",2020-07-22,19,27.3,29.9,23.8,1.4439,103.7854
"North","Admiralty",2020-07-23,2.2,27.6,31.1,24.7,1.4439,103.7854
"North","Admiralty",2020-07-24,9,27.4,30.8,24.2,1.4439,103.7854
"North","Admiralty",2020-07-25,5,27,31,24.8,1.4439,103.7854
"North","Admiralty",2020-07-26,17.2,27.1,31.8,24,1.4439,103.7854
"North","Admiralty",2020-07-27,40.6,26,29.9,22.8,1.4439,103.7854
"North","Admiralty",2020-07-28,0.2,27.7,31.6,24.5,1.4439,103.7854
"North","Admiralty",2020-07-29,9.4,25.9,28.4,23.9,1.4439,103.7854
"North","Admiralty",2020-07-30,0,28.4,32.7,25.2,1.4439,103.7854
"North","Admiralty",2020-07-31,26,27.9,30.9,23.4,1.4439,103.7854
"North","Admiralty",2020-08-01,1.2,27.2,30.8,25,1.4439,103.7854
"North","Admiralty",2020-08-02,0,27.3,30.9,24.3,1.4439,103.7854
"North","Admiralty",2020-08-03,16.4,27.9,33.6,25.6,1.4439,103.7854
"North","Admiralty",2020-08-04,33.6,27.9,35.1,23.3,1.4439,103.7854
"North","Admiralty",2020-08-05,8.4,28.8,32.3,25.3,1.4439,103.7854
"North","Admiralty",2020-08-06,0,29.3,34.8,27.1,1.4439,103.7854
"North","Admiralty",2020-08-07,4,27,30,25.1,1.4439,103.7854
"North","Admiralty",2020-08-08,0,30.2,34.6,27.6,1.4439,103.7854
"North","Admiralty",2020-08-09,0.2,28,31.9,25.4,1.4439,103.7854
"North","Admiralty",2020-08-10,20.2,26.6,30.9,23.6,1.4439,103.7854
"North","Admiralty",2020-08-11,15.6,25.6,29.1,24,1.4439,103.7854
"North","Admiralty",2020-08-12,0,27.9,32,25.8,1.4439,103.7854
"North","Admiralty",2020-08-13,31.4,28.2,32.8,23.8,1.4439,103.7854
"North","Admiralty",2020-08-14,9,25.6,28.4,22.9,1.4439,103.7854
"North","Admiralty",2020-08-15,18.2,27.1,33,24.4,1.4439,103.7854
"North","Admiralty",2020-08-16,0.2,27.9,31.7,24.6,1.4439,103.7854
"North","Admiralty",2020-08-17,1.8,27.3,32.2,24.4,1.4439,103.7854
"North","Admiralty",2020-08-18,0.6,27.1,29.2,25.8,1.4439,103.7854
"North","Admiralty",2020-08-19,0.6,27.7,31.9,24.7,1.4439,103.7854
"North","Admiralty",2020-08-20,0,28.2,32.5,25.4,1.4439,103.7854
"North","Admiralty",2020-08-21,0,29.6,33.5,27.4,1.4439,103.7854
"North","Admiralty",2020-08-22,12.6,27.5,32.7,24.3,1.4439,103.7854
"North","Admiralty",2020-08-23,20.8,25.1,28.2,23,1.4439,103.7854
"North","Admiralty",2020-08-24,0,27.8,32.7,23.8,1.4439,103.7854
"North","Admiralty",2020-08-25,0,27.8,31.6,25.8,1.4439,103.7854
"North","Admiralty",2020-08-26,0.6,27.4,32.5,25.4,1.4439,103.7854
"North","Admiralty",2020-08-27,0,28.2,31.9,25.9,1.4439,103.7854
"North","Admiralty",2020-08-28,0,28.8,31.7,26.4,1.4439,103.7854
"North","Admiralty",2020-08-29,0.8,27.5,31.9,25.8,1.4439,103.7854
"North","Admiralty",2020-08-30,0,29.2,34,26.4,1.4439,103.7854
"North","Admiralty",2020-08-31,0,29.3,33.1,27,1.4439,103.7854
"North","Admiralty",2020-09-01,0,27.5,31.3,25.6,1.4439,103.7854
"North","Admiralty",2020-09-02,32.4,25.9,29.4,23.1,1.4439,103.7854
"North","Admiralty",2020-09-03,0.2,28.8,36,25.5,1.4439,103.7854
"North","Admiralty",2020-09-04,0.2,28.7,34.4,25.3,1.4439,103.7854
"North","Admiralty",2020-09-05,1.6,30.6,35.2,27.4,1.4439,103.7854
"North","Admiralty",2020-09-06,0,29.9,33.7,26.6,1.4439,103.7854
"North","Admiralty",2020-09-07,11.6,25.6,26.9,23,1.4439,103.7854
"North","Admiralty",2020-09-08,0,30.3,35.4,27.9,1.4439,103.7854
"North","Admiralty",2020-09-09,0.4,27.9,33.1,25.5,1.4439,103.7854
"North","Admiralty",2020-09-10,0,27.7,30.7,25.9,1.4439,103.7854
"North","Admiralty",2020-09-11,0,26.8,30.8,24.7,1.4439,103.7854
"North","Admiralty",2020-09-12,5.8,27.5,32.1,25.5,1.4439,103.7854
"North","Admiralty",2020-09-13,18,24.8,27.7,22.8,1.4439,103.7854
"North","Admiralty",2020-09-14,19.4,25.5,29.7,23.1,1.4439,103.7854
"North","Admiralty",2020-09-15,0,27.8,32.2,24.4,1.4439,103.7854
"North","Admiralty",2020-09-16,10.8,26.5,30.7,21.4,1.4439,103.7854
"North","Admiralty",2020-09-17,0,28.3,32.7,25.1,1.4439,103.7854
"North","Admiralty",2020-09-18,0,29.1,33.9,26.4,1.4439,103.7854
"North","Admiralty",2020-09-19,31.8,28.6,34.5,22.6,1.4439,103.7854
"North","Admiralty",2020-09-20,0.8,28.4,31.6,26.1,1.4439,103.7854
"North","Admiralty",2020-09-21,1.8,26.2,29.3,25,1.4439,103.7854
"North","Admiralty",2020-09-22,0.2,27.1,32.7,24.9,1.4439,103.7854
"North","Admiralty",2020-09-23,0,28.7,34.3,25.2,1.4439,103.7854
"North","Admiralty",2020-09-24,2.6,28.2,33,24.1,1.4439,103.7854
"North","Admiralty",2020-09-25,15.4,28.5,34.5,23.1,1.4439,103.7854
"North","Admiralty",2020-09-26,49.4,25.7,28.5,22.6,1.4439,103.7854
"North","Admiralty",2020-09-27,8.6,26.2,29.1,22.3,1.4439,103.7854
"North","Admiralty",2020-09-28,0,28.6,33.5,25.8,1.4439,103.7854
"North","Admiralty",2020-09-29,3.4,27.6,31.1,25.4,1.4439,103.7854
"North","Admiralty",2020-09-30,35.8,27.5,32.9,24.5,1.4439,103.7854
"North","Admiralty",2020-10-01,0.4,26.9,30.3,25.1,1.4439,103.7854
"North","Admiralty",2020-10-02,6.8,26.6,32.9,23.3,1.4439,103.7854
"North","Admiralty",2020-10-03,0,29.2,35.7,26.3,1.4439,103.7854
"North","Admiralty",2020-10-04,0,28.8,35.1,25.4,1.4439,103.7854
"North","Admiralty",2020-10-05,0.2,29.6,32.3,26.3,1.4439,103.7854
"North","Admiralty",2020-10-06,0,29,33.5,25.9,1.4439,103.7854
"North","Admiralty",2020-10-07,0,27.7,32,24.8,1.4439,103.7854
"North","Admiralty",2020-10-08,0,30.3,34.3,27.9,1.4439,103.7854
"North","Admiralty",2020-10-09,0.4,26.9,30.2,24.9,1.4439,103.7854
"North","Admiralty",2020-10-10,6.2,27.5,29.7,23.5,1.4439,103.7854
"North","Admiralty",2020-10-11,1.2,27,29.6,24.8,1.4439,103.7854
"North","Admiralty",2020-10-12,5.8,26.5,32.6,24.2,1.4439,103.7854
"North","Admiralty",2020-10-13,0,29.1,32.3,26.4,1.4439,103.7854
"North","Admiralty",2020-10-14,3.4,28.5,31.7,24.9,1.4439,103.7854
"North","Admiralty",2020-10-15,12.6,28.3,32.5,23.8,1.4439,103.7854
"North","Admiralty",2020-10-16,1,29.2,34,24.9,1.4439,103.7854
"North","Admiralty",2020-10-17,0,30.1,34.8,27.5,1.4439,103.7854
"North","Admiralty",2020-10-18,14,28.2,32.3,22.5,1.4439,103.7854
"North","Admiralty",2020-10-19,0,29.2,34.3,25.9,1.4439,103.7854
"North","Admiralty",2020-10-20,3.4,27.6,30.4,25.5,1.4439,103.7854
"North","Admiralty",2020-10-21,2.8,28.4,33.3,24.1,1.4439,103.7854
"North","Admiralty",2020-10-22,5.8,26.7,30,24,1.4439,103.7854
"North","Admiralty",2020-10-23,0,28.6,32.4,26.7,1.4439,103.7854
"North","Admiralty",2020-10-24,0.2,27.9,31.7,25.3,1.4439,103.7854
"North","Admiralty",2020-10-25,1.4,28,32.2,23.6,1.4439,103.7854
"North","Admiralty",2020-10-26,1.6,27.4,29.3,24.2,1.4439,103.7854
"North","Admiralty",2020-10-27,0,29.4,32.8,26.4,1.4439,103.7854
"North","Admiralty",2020-10-28,2.6,28,29.7,24.9,1.4439,103.7854
"North","Admiralty",2020-10-29,0,28.3,31.6,26.4,1.4439,103.7854
"North","Admiralty",2020-10-30,0,28.7,34.1,25.1,1.4439,103.7854
"North","Admiralty",2020-10-31,37.2,27.2,34.1,22.6,1.4439,103.7854
"North","Admiralty",2020-11-01,0,27.3,30.1,25.1,1.4439,103.7854
"North","Admiralty",2020-11-02,18.4,26.5,28.9,25,1.4439,103.7854
"North","Admiralty",2020-11-03,16,28.6,34.7,24.2,1.4439,103.7854
"North","Admiralty",2020-11-04,0.4,28.7,33.4,26.8,1.4439,103.7854
"North","Admiralty",2020-11-05,1.2,29.1,32.8,25.9,1.4439,103.7854
"North","Admiralty",2020-11-06,1.2,28.3,33.5,25.2,1.4439,103.7854
"North","Admiralty",2020-11-07,0.4,27.7,31.6,26,1.4439,103.7854
"North","Admiralty",2020-11-08,0,29.8,34,28.2,1.4439,103.7854
"North","Admiralty",2020-11-09,4.2,27.6,31.7,24.1,1.4439,103.7854
"North","Admiralty",2020-11-10,4.8,27.5,31.8,23.9,1.4439,103.7854
"North","Admiralty",2020-11-11,0,28.9,33.2,25.3,1.4439,103.7854
"North","Admiralty",2020-11-12,0,27.4,31.5,24.4,1.4439,103.7854
"North","Admiralty",2020-11-13,0,28.9,33.3,26.2,1.4439,103.7854
"North","Admiralty",2020-11-14,38.4,27.2,32.1,23.5,1.4439,103.7854
"North","Admiralty",2020-11-15,92.6,26.6,32.3,23.3,1.4439,103.7854
"North","Admiralty",2020-11-16,4.2,27.4,32,24.6,1.4439,103.7854
"North","Admiralty",2020-11-17,8.6,26.5,32.3,24.5,1.4439,103.7854
"North","Admiralty",2020-11-18,0,28,33.9,24.5,1.4439,103.7854
"North","Admiralty",2020-11-19,6.2,26.9,31.6,24.5,1.4439,103.7854
"North","Admiralty",2020-11-20,2.4,26.8,33.5,24.4,1.4439,103.7854
"North","Admiralty",2020-11-21,38.8,26.1,33.6,23.7,1.4439,103.7854
"North","Admiralty",2020-11-22,25,25.7,32.1,23.5,1.4439,103.7854
"North","Admiralty",2020-11-23,0.2,25.8,29.4,24.3,1.4439,103.7854
"North","Admiralty",2020-11-24,0,25.5,27.8,24.4,1.4439,103.7854
"North","Admiralty",2020-11-25,0.4,26.3,29.6,24.2,1.4439,103.7854
"North","Admiralty",2020-11-26,1.8,26,28.3,24.8,1.4439,103.7854
"North","Admiralty",2020-11-27,0,27.4,31.3,25.2,1.4439,103.7854
"North","Admiralty",2020-11-28,4.6,26.3,28.9,22.6,1.4439,103.7854
"North","Admiralty",2020-11-29,0,27.5,32.3,24.7,1.4439,103.7854
"North","Admiralty",2020-11-30,0,27.7,31.5,26,1.4439,103.7854
"North","Admiralty",2020-12-01,0,27.7,32.4,25.1,1.4439,103.7854
"North","Admiralty",2020-12-02,3.2,27.5,31.7,25,1.4439,103.7854
"North","Admiralty",2020-12-03,0,28.5,33.3,25.6,1.4439,103.7854
"North","Admiralty",2020-12-04,0,28.7,33,26.6,1.4439,103.7854
"North","Admiralty",2020-12-05,0,30,34.7,28.3,1.4439,103.7854
"North","Admiralty",2020-12-06,1.6,28.5,32,26.9,1.4439,103.7854
"North","Admiralty",2020-12-07,5,28.1,31.9,24.1,1.4439,103.7854
"North","Admiralty",2020-12-08,12.6,27,29.3,23.4,1.4439,103.7854
